,PC1_loading,PC2_loading,PC3_loading,abs_PC1,abs_PC2,abs_PC3
pitch_x,0.07399470742784094,0.10448054307035107,0.4385561876349989,0.07399470742784094,0.10448054307035107,0.4385561876349989
pitch_y,0.23376309058754666,0.03160362219885816,0.22284051540682134,0.23376309058754666,0.03160362219885816,0.22284051540682134
fifth_x,-0.5570014248428453,0.5535430992737176,0.30855949953720146,0.5570014248428453,0.5535430992737176,0.30855949953720146
fifth_y,-0.02413561716990154,-0.3850033949775054,0.756655894925426,0.02413561716990154,0.3850033949775054,0.756655894925426
transition_x,-0.22217743915420735,-0.00960101315345464,-0.144026221705397,0.22217743915420735,0.00960101315345464,0.144026221705397
transition_y,0.6801743612450643,0.2783416938874837,0.036355224995866305,0.6801743612450643,0.2783416938874837,0.036355224995866305
pitch_delta,-0.144726584289696,-0.24993169317680386,-0.23883769565185134,0.144726584289696,0.24993169317680386,0.23883769565185134
register,-0.28434980763301243,-0.2268363101464163,-0.004465260686628932,0.28434980763301243,0.2268363101464163,0.004465260686628932
bar_x,0.0034635152126191917,0.5788838263740382,0.00719092693080894,0.0034635152126191917,0.5788838263740382,0.00719092693080894
bar_y,0.12342575118475341,-0.08278964297326222,0.1053238773004031,0.12342575118475341,0.08278964297326222,0.1053238773004031
