,PC1_loading,PC2_loading,PC3_loading,abs_PC1,abs_PC2,abs_PC3
pitch_x,0.12086509988705119,0.10228147649907458,0.051722474145708575,0.12086509988705119,0.10228147649907458,0.051722474145708575
pitch_y,-0.20782133025388078,0.1311260200582375,0.05452454504002053,0.20782133025388078,0.1311260200582375,0.05452454504002053
fifth_x,0.720203170262899,0.14930653010034556,0.2651634857206306,0.720203170262899,0.14930653010034556,0.2651634857206306
fifth_y,-0.09314189541631096,-0.09974612252876192,0.7850483886346029,0.09314189541631096,0.09974612252876192,0.7850483886346029
transition_x,-0.2717543585883359,0.027288082630419853,0.5070948747063194,0.2717543585883359,0.027288082630419853,0.5070948747063194
transition_y,-0.4135729793495887,0.7118777727099158,-0.04968627002497181,0.4135729793495887,0.7118777727099158,0.04968627002497181
pitch_delta,0.10564437760952239,-0.2115469022208774,-0.15567585765427958,0.10564437760952239,0.2115469022208774,0.15567585765427958
register,-0.12123245920508435,-0.4333525486434534,0.027842202474034804,0.12123245920508435,0.4333525486434534,0.027842202474034804
bar_x,0.36017811826046864,0.4203692142031876,0.10428732203315036,0.36017811826046864,0.4203692142031876,0.10428732203315036
bar_y,0.11981044179622291,0.15274598293186498,-0.11063123060359142,0.11981044179622291,0.15274598293186498,0.11063123060359142
