,PC1_loading,PC2_loading,PC3_loading,abs_PC1,abs_PC2,abs_PC3
pitch_x,0.09762997760955723,0.1702097441887941,0.04257048499520439,0.09762997760955723,0.1702097441887941,0.04257048499520439
pitch_y,-0.2550537742952162,0.07063289825176042,0.07256510705873613,0.2550537742952162,0.07063289825176042,0.07256510705873613
fifth_x,0.6570062502627205,0.14793934319605445,0.3641904196672408,0.6570062502627205,0.14793934319605445,0.3641904196672408
fifth_y,-0.02347658843443137,-0.14561695238018305,0.7005417592192584,0.02347658843443137,0.14561695238018305,0.7005417592192584
transition_x,-0.2868191695326926,-0.16327538600428454,0.5632104298245247,0.2868191695326926,0.16327538600428454,0.5632104298245247
transition_y,-0.4650754434836035,0.721741202533821,0.1166098297878529,0.4650754434836035,0.721741202533821,0.1166098297878529
pitch_delta,0.14980466448494748,-0.07577355096781169,-0.12870268333213028,0.14980466448494748,0.07577355096781169,0.12870268333213028
register,-0.12521717724904685,-0.4884584378926644,-0.05375487412858327,0.12521717724904685,0.4884584378926644,0.05375487412858327
bar_x,0.3728911024713326,0.3067829027685621,0.0905286908890597,0.3728911024713326,0.3067829027685621,0.0905286908890597
bar_y,0.13220680457554204,0.19217452866141144,-0.10523967468391746,0.13220680457554204,0.19217452866141144,0.10523967468391746
